stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code,jurisdiction,equipment
30539,18878,Baseline Rd & Extension Rd,WB Baseline Rd & FS Extension Rd,33.378945,-111.849469,,,0,,,Mesa,
30540,18879,Baseline Rd & Emerson,WB Baseline Rd & FS Emerson,33.378934,-111.856459,,,0,,,Mesa,
30541,18880,Baseline Rd & Alma School Rd,WB Baseline Rd & FS Alma School Rd,33.378903,-111.860313,,,0,,,Mesa,
30542,18881,Baseline Rd & Rogers,WB Baseline Rd & FS Rogers,33.378819,-111.864548,,,0,,,Mesa,
30543,18882,Baseline Rd & Longmore,WB Baseline Rd & FS Longmore,33.378767,-111.869397,,,0,,,Mesa,
30544,18883,Baseline Rd & Pennington,WB Baseline Rd & FS Pennington,33.378746,-111.873692,,,0,,,Mesa,
30562,15663,Rio Salado Pkwy & Evergreen Rd,EB Rio Salado Pkwy & FS Evergreen Rd,33.429273,-111.882463,,,0,,,Mesa,
30563,15664,Rio Salado Pkwy & May,EB Rio Salado Pkwy & FS May,33.429309,-111.87987,,,0,,,Mesa,
30564,15670,Rio Salado Pkwy & Santa Barbara,EB Rio Salado Pkwy & FS Santa Barbara,33.429337,-111.876364,,,0,,,Mesa,
30565,15674,Rio Salado Pkwy & Riverview Dr,WB Rio Salado Pkwy & FS Riverview Dr,33.429501,-111.878156,,,0,,,Mesa,
30566,16131,Rio Salado Pkwy & Clark St,WB Rio Salado Pkwy & NS Clark St,33.429499,-111.882275,,,0,,,Mesa,
30567,16887,Rio Salado Pkwy & Cubs Wy,WB Rio Salado Pkwy & NS Cubs Wy,33.429432,-111.887932,,,0,,,Mesa,
30591,18961,Dobson Rd & 1st Av,NB Dobson Rd & NS 1st Av,33.412816,-111.874337,,,0,,,Mesa,
30592,18962,Innovation Wy & Tahoe Av,WB Innovation Wy & NS Tahoe Av,33.309608,-111.67327,,,0,,,Mesa,
3098,16099,Stapley Dr & Fairfield St,NB Stapley Dr & NS Fairfield St,33.433946,-111.805149,,,0,,,Mesa,
3099,16095,Stapley Dr & 2nd St,NB Stapley Dr & FS 2nd St,33.419069,-111.805185,,,0,,,Mesa,
3100,16098,Stapley Dr & 8th St,NB Stapley Dr & FS 8th St,33.429981,-111.805147,,,0,,,Mesa,
3101,16100,Stapley Dr & Brown Rd,NB Stapley Dr & FS Brown Rd,33.437292,-111.805143,,,0,,,Mesa,
3102,16101,Stapley Dr & Grandview St,NB Stapley Dr & FS Grandview St,33.440042,-111.805066,,,0,,,Mesa,
3103,16086,Stapley Dr & Inverness Av,NB Stapley Dr & FS Inverness Av,33.382665,-111.805632,,,0,,,Mesa,
3104,16103,Stapley Dr & Jensen St,NB Stapley Dr & FS Jensen St,33.448454,-111.80482,,,0,,,Mesa,
3105,16094,Stapley Dr & Main St,NB Stapley Dr & FS Main St,33.415472,-111.805168,,,0,,,Mesa,
3106,16102,Stapley Dr & McLellan Rd,NB Stapley Dr & FS McLellan Rd,33.444528,-111.804937,,,0,,,Mesa,
3107,16096,Stapley Dr & University Dr,NB Stapley Dr & FS University Dr,33.422818,-111.805057,,,0,,,Mesa,
3108,16097,Stapley Dr & Dover St,NB Stapley Dr & NS Dover St,33.426205,-111.805166,,,0,,,Mesa,
3279,15477,Alma School Rd & Baseline Rd,NB Alma School Rd & FS Baseline Rd,33.379108,-111.859602,,,0,,,Mesa,
3282,15473,Alma School Rd & Guadalupe Rd,NB Alma School Rd & FS Guadalupe Rd,33.364911,-111.858887,,,0,,,Mesa,
3283,15479,Alma School Rd & Holmes Av,NB Alma School Rd & FS Holmes Av,33.38872,-111.857046,,,0,,,Mesa,
3284,15478,Alma School Rd & Isabella Av,NB Alma School Rd & NS Isabella Av,33.382973,-111.857779,,,0,,,Mesa,
3286,15476,Alma School Rd & Kilarea Av,NB Alma School Rd & FS Kilarea Av,33.374963,-111.859457,,,0,,,Mesa,
3287,15475,Alma School Rd & Medina Av,NB Alma School Rd & FS Medina Av,33.371785,-111.859296,,,0,,,Mesa,
3288,15474,Alma School Rd & Meseto Av,NB Alma School Rd & FS Meseto Av,33.368544,-111.85914,,,0,,,Mesa,
3289,15472,Alma School Rd & Pecos Av,NB Alma School Rd & FS Pecos Av,33.360615,-111.858941,,,0,,,Mesa,
3331,15937,Country Club Dr & 10th Av,NB Country Club Dr & FS 10th Av,33.397284,-111.839908,,,0,,,Mesa,
3332,15940,Country Club Dr & 1st Av,NB Country Club Dr & FS 1st Av,33.413406,-111.839744,,,0,,,Mesa,
3333,15938,Country Club Dr & 8th Av,NB Country Club Dr & FS 8th Av,33.401323,-111.839919,,,0,,,Mesa,
3334,15935,Country Club Dr & 1331 South,NB Country Club Dr & AT 1331 South,33.39095,-111.839917,,,0,,,Mesa,
3335,16301,Country Club Dr & Southern Av,NB Country Club Dr & FS Southern Av,33.394041,-111.83983,,,0,,,Mesa,
3336,15939,Country Club Dr & Broadway Rd,NB Country Club Dr & NS Broadway Rd,33.405299,-111.83987,,,0,,,Mesa,
3338,15386,Dobson Rd & Baseline Rd,NB Dobson Rd & FS Baseline Rd,33.378942,-111.87743,,,0,,,Mesa,
3339,13116,Dobson Rd & Broadway Rd,NB Dobson Rd & FS Broadway Rd,33.408124,-111.874296,,,0,,,Mesa,
3341,15382,Dobson Rd & Guadalupe Rd,NB Dobson Rd & FS Guadalupe Rd,33.36462,-111.876391,,,0,,,Mesa,
3342,15387,Dobson Rd & Isabella Av,NB Dobson Rd & FS Isabella Av,33.383119,-111.874913,,,0,,,Mesa,
3343,17452,Dobson Rd & Lindner Av,NB Dobson Rd & FS Lindner Av,33.376645,-111.878118,,,0,,,Mesa,
3345,15389,Dobson Rd & Southern Av,NB Dobson Rd & FS Southern Av,33.393583,-111.874405,,,0,,,Mesa,
3346,15388,Dobson Rd & 1400 South,NB Dobson Rd & AT 1400 South,33.389785,-111.874444,,,0,,,Mesa,
3348,15392,Dobson Rd & 701 South,NB Dobson Rd & AT 701 South,33.403399,-111.874444,,,0,,,Mesa,
3352,15853,Farnsworth Dr & Kiowa St,NB Farnsworth Dr & FS Kiowa St,33.376095,-111.661266,,,0,,,Mesa,
3358,16203,Gilbert Rd & Alder Cir,NB Gilbert Rd & FS Alder Cir,33.41413,-111.788087,,,0,,,Mesa,
3359,16195,Gilbert Rd & Baseline Rd,NB Gilbert Rd & FS Baseline Rd,33.379593,-111.788139,,,0,,,Mesa,
3360,16202,Gilbert Rd & Bayberry Av,NB Gilbert Rd & FS Bayberry Av,33.411347,-111.788107,,,0,,,Mesa,
3361,16201,Gilbert Rd & Broadway Rd,NB Gilbert Rd & FS Broadway Rd,33.408407,-111.788111,,,0,,,Mesa,
3362,16200,Gilbert Rd & Clovis Av,NB Gilbert Rd & FS Clovis Av,33.405322,-111.788154,,,0,,,Mesa,
3363,16197,Gilbert Rd & Hampton Av,NB Gilbert Rd & FS Hampton Av,33.390203,-111.788159,,,0,,,Mesa,
3365,16199,Gilbert Rd & Pueblo Av,NB Gilbert Rd & FS Pueblo Av,33.401188,-111.788146,,,0,,,Mesa,
3368,16198,Gilbert Rd & Southern Av,NB Gilbert Rd & FS Southern Av,33.394247,-111.78809,,,0,,,Mesa,
3371,16196,Gilbert Rd & Inverness Av,NB Gilbert Rd & NS Inverness Av,33.384059,-111.788172,,,0,,,Mesa,
3438,15993,Mesa Dr & Coury Av,NB Mesa Dr & NS Coury Av,33.382604,-111.822938,,,0,,,Mesa,
3440,16000,Mesa Dr & 2nd Av,NB Mesa Dr & FS 2nd Av,33.411577,-111.822836,,,0,,,Mesa,
3441,15999,Mesa Dr & Broadway Rd,NB Mesa Dr & FS Broadway Rd,33.408002,-111.82288,,,0,,,Mesa,
3442,15998,Mesa Dr & Franklin Av,NB Mesa Dr & FS Franklin Av,33.402488,-111.822834,,,0,,,Mesa,
3443,15994,Mesa Dr & Hampton Av,NB Mesa Dr & FS Hampton Av,33.389859,-111.822788,,,0,,,Mesa,
3444,16529,Mesa Dr & Millett Av,NB Mesa Dr & FS Millett Av,33.399868,-111.822833,,,0,,,Mesa,
3445,15995,Mesa Dr & Southern Av,NB Mesa Dr & FS Southern Av,33.394045,-111.822772,,,0,,,Mesa,
3474,12585,Power Rd & Via Rossmoor,NB Power Rd & FS Via Rossmoor,33.399405,-111.684502,,,0,,,Mesa,
3475,15856,Power Rd & Baseline Rd,NB Power Rd & FS Baseline Rd,33.380049,-111.687694,,,0,,,Mesa,
3476,12587,Power Rd & Baywood Av,NB Power Rd & FS Baywood Av,33.410634,-111.684369,,,0,,,Mesa,
3479,12583,Power Rd & Hampton Av,NB Power Rd & FS Hampton Av,33.391123,-111.6845,,,0,,,Mesa,
3481,12584,Power Rd & Southern Av,NB Power Rd & FS Southern Av,33.394346,-111.684546,,,0,,,Mesa,
3483,14116,Price Rd & Baseline Rd,NB Price Rd & FS Baseline Rd,33.378993,-111.892331,,,0,,,Mesa,
3554,16091,Stapley Dr & 6th Av,NB Stapley Dr & FS 6th Av,33.404452,-111.805244,,,0,,,Mesa,
3555,16090,Stapley Dr & 8th Av,NB Stapley Dr & FS 8th Av,33.400843,-111.80526,,,0,,,Mesa,
3556,16092,Stapley Dr & Broadway Rd,NB Stapley Dr & FS Broadway Rd,33.408248,-111.805196,,,0,,,Mesa,
3557,16089,Stapley Dr & Emerald Av,NB Stapley Dr & FS Emerald Av,33.396493,-111.805299,,,0,,,Mesa,
3558,16087,Stapley Dr & Hilton Av,NB Stapley Dr & FS Hilton Av,33.389531,-111.805343,,,0,,,Mesa,
3559,16093,Stapley Dr & Jarvis Av,NB Stapley Dr & FS Jarvis Av,33.410527,-111.805192,,,0,,,Mesa,
3560,16088,Stapley Dr & Southern Av,NB Stapley Dr & FS Southern Av,33.393768,-111.805299,,,0,,,Mesa,
38,17088,Arbor Av & Recker Rd,EB Arbor Av & FS Recker Rd,33.413635,-111.701405,,,0,,,Mesa,
39,13158,Arbor Av & 6215 East,EB Arbor Av & AT 6215 East,33.412658,-111.697097,,,0,,,Mesa,
40301,50102,Longmore & University Dr (Flag Zone),SB Longmore & FS University Dr (Flag Zone),33.421752,-111.865422,,,0,,,Mesa,0
40302,50123,Longmore & Argon St (Flag Zone),SB Longmore & NS Argon St (Flag Zone),33.418497,-111.865459,,,0,,,Mesa,0
40303,50163,8th Av & Dobson Rd (Flag Zone),EB 8th Av & FS Dobson Rd (Flag Zone),33.400262,-111.873958,,,0,,,Mesa,0
40304,50164,Sycamore & 8th Av (Flag Zone),SB Sycamore & FS 8th Av (Flag Zone),33.400548,-111.869863,,,0,,,Mesa,0
40305,50169,Sycamore & Emelita Av (Flag Zone),SB Sycamore & NS Emelita Av (Flag Zone),33.398743,-111.869884,,,0,,,Mesa,0
40306,50300,Emelita Av & Dobson Rd (Flag Zone),WB Emelita Av & NS Dobson Rd (Flag Zone),33.398364,-111.873456,,,0,,,Mesa,0
40307,50301,8th Av & Alma School Rd (Flag Zone),WB 8th Av & FS Alma School Rd (Flag Zone),33.400434,-111.857579,,,0,,,Mesa,0
40308,50302,Pueblo Av & Standage (Flag Zone),WB Pueblo Av & FS Standage (Flag Zone),33.400863,-111.86186,,,0,,,Mesa,0
