GEO_ID,GEO_ID_CLEAN,GEO_ID_FIXED_TEXT,NAME,B01003_001E,B01003_001M
1400000US04013110802,4013110802,04013110802,Census Tract 1108.02; Maricopa County; Arizona,2465,417
1400000US04013110901,4013110901,04013110901,Census Tract 1109.01; Maricopa County; Arizona,3743,826
1400000US04013110902,4013110902,04013110902,Census Tract 1109.02; Maricopa County; Arizona,4635,573
1400000US04013111000,4013111000,04013111000,Census Tract 1110; Maricopa County; Arizona,4593,862
1400000US04013111100,4013111100,04013111100,Census Tract 1111; Maricopa County; Arizona,4717,794
1400000US04013111201,4013111201,04013111201,Census Tract 1112.01; Maricopa County; Arizona,6379,961
1400000US04013111202,4013111202,04013111202,Census Tract 1112.02; Maricopa County; Arizona,1782,214
1400000US04013111203,4013111203,04013111203,Census Tract 1112.03; Maricopa County; Arizona,2180,572
1400000US04013111204,4013111204,04013111204,Census Tract 1112.04; Maricopa County; Arizona,3619,951
1400000US04013111300,4013111300,04013111300,Census Tract 1113; Maricopa County; Arizona,6026,845
1400000US04013111401,4013111401,04013111401,Census Tract 1114.01; Maricopa County; Arizona,4322,711
1400000US04013111402,4013111402,04013111402,Census Tract 1114.02; Maricopa County; Arizona,3545,559
1400000US04013111501,4013111501,04013111501,Census Tract 1115.01; Maricopa County; Arizona,2013,402
1400000US04013111502,4013111502,04013111502,Census Tract 1115.02; Maricopa County; Arizona,5797,729
1400000US04013111601,4013111601,04013111601,Census Tract 1116.01; Maricopa County; Arizona,3241,963
1400000US04013111602,4013111602,04013111602,Census Tract 1116.02; Maricopa County; Arizona,4305,563
1400000US04013111700,4013111700,04013111700,Census Tract 1117; Maricopa County; Arizona,4760,932
1400000US04013111800,4013111800,04013111800,Census Tract 1118; Maricopa County; Arizona,4478,682
1400000US04013111900,4013111900,04013111900,Census Tract 1119; Maricopa County; Arizona,2495,410
1400000US04013112100,4013112100,04013112100,Census Tract 1121; Maricopa County; Arizona,3920,688
1400000US04013112201,4013112201,04013112201,Census Tract 1122.01; Maricopa County; Arizona,4427,897
1400000US04013112202,4013112202,04013112202,Census Tract 1122.02; Maricopa County; Arizona,4405,825
1400000US04013112301,4013112301,04013112301,Census Tract 1123.01; Maricopa County; Arizona,5674,1199
1400000US04013112302,4013112302,04013112302,Census Tract 1123.02; Maricopa County; Arizona,6865,944
1400000US04013112401,4013112401,04013112401,Census Tract 1124.01; Maricopa County; Arizona,6162,1246
1400000US04013112402,4013112402,04013112402,Census Tract 1124.02; Maricopa County; Arizona,5801,1029
1400000US04013112502,4013112502,04013112502,Census Tract 1125.02; Maricopa County; Arizona,5499,779
1400000US04013112504,4013112504,04013112504,Census Tract 1125.04; Maricopa County; Arizona,3720,710
